"","n_raw_reads","n_mapped_reads","expected_umis","ci_95_low","ci_95_high","signal_umis","dataset"
"104",1029999737.19315,848334258.774765,306832522.219264,306628176.303679,307037004.316898,149046965,"tenx_nextgem"
"105",1039999734.64163,856570513.714326,308055078.538007,307846517.328922,308263781.044054,149640834,"tenx_nextgem"
"106",1049999732.09011,864806768.653887,309265056.279965,309052155.819778,309478103.403441,150228593,"tenx_nextgem"
"107",1059999729.53858,873043023.593447,310463789.703726,310246423.925156,310681307.773759,150810890,"tenx_nextgem"
"108",1069999726.98706,881279278.533008,311651723.277323,311429764.030361,311873840.71696,151387941,"tenx_nextgem"
"109",1079999724.43554,889515533.472569,312826122.459319,312599439.541618,313052969.757178,151958417,"tenx_nextgem"
"110",1089999721.88401,897751788.41213,313988755.544535,313757216.732513,314220465.221859,152523177,"tenx_nextgem"
"111",1099999719.33249,905988043.351691,315139832.476872,314903303.559905,315376539.054499,153082325,"tenx_nextgem"
"112",1109999716.78097,914224298.291252,316279542.522559,316037887.339304,316521382.485012,153635950,"tenx_nextgem"
"113",1119999714.22945,922460553.230812,317408070.656007,317161151.132106,317655182.414207,154184144,"tenx_nextgem"
"114",1129999711.67792,930696808.170373,318525597.683196,318273273.87026,318778121.535883,154726994,"tenx_nextgem"
"115",1139999709.1264,938933063.109934,319632300.360761,319374430.478226,319890378.453065,155264586,"tenx_nextgem"
"116",1149999706.57488,947169318.049495,320727750.114281,320464190.591465,320991526.396486,155796711,"tenx_nextgem"
"117",1159999704.02335,955405572.989056,321811409.262243,321542014.781784,322081029.44691,156323110,"tenx_nextgem"
"118",1169999701.47183,963641827.928617,322884456.0869,322609079.628998,323160067.603882,156844353,"tenx_nextgem"
"119",1179999698.92031,971878082.868177,323947279.8865,323665772.774637,324229031.838134,157360630,"tenx_nextgem"
"120",1189999696.36879,980114337.807738,325000985.277982,324713197.224576,325289028.393283,157872478,"tenx_nextgem"
"121",1199999693.81726,988350592.747299,326046559.687838,325752338.840801,326341046.27635,158380376,"tenx_nextgem"
"122",1209999691.26574,996586847.68686,327082419.90795,326781612.899409,327383503.813516,158883556,"tenx_nextgem"
"123",1219999688.71422,1004823102.62642,328107076.367055,327799528.360521,328414912.921217,159381293,"tenx_nextgem"
"124",1229999686.16269,1013059357.56598,329122028.708472,328807583.44584,329436774.681392,159874316,"tenx_nextgem"
"125",1239999683.61117,1021295612.50554,330128114.637915,329806614.487049,330449928.191674,160363032,"tenx_nextgem"
"126",1249999681.05965,1029531867.4451,331125169.936989,330796455.940346,331454210.57828,160847362,"tenx_nextgem"
